x	y	z	L	slope
372559.693702	7647005.151839	654.134147	3529.210894	18.688156
372569.693702	7647005.151659	652.121367	3539.210894	18.688156
372579.693702	7647005.151479	650.108587	3549.210894	18.688156
372589.693702	7647005.151300	648.095807	3559.210894	18.688156
372599.693702	7647005.151120	646.083027	3569.210894	18.688156
372609.693702	7647005.150941	644.070247	3579.210894	18.688156
372619.624533	7647006.078492	642.110287	3589.184948	18.688156
372629.513947	7647007.561558	640.181954	3599.184948	18.688156
372639.360154	7647009.300813	638.267502	3609.183588	18.688156
372649.188939	7647011.143361	636.358646	3619.183588	18.688156
372659.017724	7647012.985909	634.449790	3629.183588	18.688156
372668.948092	7647014.161761	632.528807	3639.183330	18.688156
372678.879612	7647015.330060	630.607686	3649.183330	18.688156
372688.811131	7647016.498359	628.686566	3659.183330	18.688156
372698.742651	7647017.666657	626.765445	3669.183330	18.688156
372708.674170	7647018.834956	624.844325	3679.183330	18.688156
372718.605689	7647020.003255	622.923204	3689.183330	18.688156
372728.556924	7647020.982433	620.969458	3699.182623	18.688156
372738.515872	7647021.887616	619.002946	3709.182623	18.688156
372748.474820	7647022.792799	617.036435	3719.182623	18.688156
372758.433768	7647023.697982	615.069923	3729.182623	18.688156
372768.392715	7647024.603165	613.103411	3739.182623	18.688156
372778.278110	7647023.760187	610.836321	3749.103895	18.688156
372788.125825	7647022.021648	608.415248	3759.103895	18.688156
372797.973539	7647020.283108	605.994176	3769.103895	18.688156
372807.821254	7647018.544569	603.573103	3779.103895	18.688156
372817.706919	7647017.043698	601.173793	3789.102845	18.688156
372827.606346	7647015.629005	598.782374	3799.102845	18.688156
372837.505772	7647014.214312	596.390955	3809.102845	18.688156
372847.497629	7647014.100173	594.214778	3819.095353	18.688156
372857.497629	7647014.100614	592.057564	3829.095353	18.688156
372867.497629	7647014.101055	589.900350	3839.095353	18.688156
372877.497629	7647014.101495	587.743136	3849.095353	18.688156
372887.497629	7647014.101936	585.585922	3859.095353	18.688156
372897.497629	7647014.102377	583.428708	3869.095353	18.688156
372907.497629	7647014.102799	581.331258	3879.095353	18.688156
372917.497629	7647014.103217	579.248630	3889.095353	18.688156
372927.497629	7647014.103634	577.166003	3899.095353	18.688156
372937.497629	7647014.104052	575.083376	3909.095353	18.688156
372947.497629	7647014.104470	573.000749	3919.095353	18.688156
372957.497629	7647014.104887	570.918121	3929.095353	18.688156
372967.434917	7647015.029142	568.824241	3939.075531	18.688156
372977.343236	7647016.380143	566.725162	3949.075531	18.688156
372987.251556	7647017.731144	564.626084	3959.075531	18.688156
372997.133182	7647019.263621	562.534766	3969.075282	18.688156
373007.010861	7647020.822935	560.444595	3979.075282	18.688156
373016.888540	7647022.382250	558.354425	3989.075282	18.688156
373026.773303	7647023.872394	556.248639	3999.071735	18.688156
373036.761995	7647024.347826	553.913784	4009.071735	18.688156
373046.750687	7647024.823258	551.578928	4019.071735	18.688156
373056.739379	7647025.298690	549.244072	4029.071735	18.688156
373066.728071	7647025.774122	546.909216	4039.071735	18.688156
373076.716762	7647026.249554	544.574361	4049.071735	18.688156
373086.705453	7647026.725012	542.225612	4059.071735	18.688156
373096.694144	7647027.200472	539.875563	4069.071735	18.688156
373106.682834	7647027.675931	537.525515	4079.071735	18.688156
373116.671525	7647028.151391	535.175467	4089.071735	18.688156
373126.653280	7647028.727030	532.829662	4099.070075	18.688156
373136.612212	7647029.632390	530.497823	4109.070075	18.688156
373146.571144	7647030.537750	528.165984	4119.070075	18.688156
373156.530076	7647031.443110	525.834146	4129.070075	18.688156
373166.489008	7647032.348470	523.502307	4139.070075	18.688156
373176.439491	7647033.342344	521.133096	4149.070070	18.688156
373186.389866	7647034.337347	518.763408	4159.070070	18.688156
373196.340242	7647035.332350	516.393721	4169.070070	18.688156
373206.290617	7647036.327352	514.024033	4179.070070	18.688156
373216.240992	7647037.322355	511.654346	4189.070070	18.688156
373226.223409	7647037.883050	509.296719	4199.068221	18.688156
373236.212073	7647038.359050	506.941445	4209.068221	18.688156
373246.200738	7647038.835050	504.586170	4219.068221	18.688156
373256.189822	7647039.299720	502.231171	4229.068107	18.688156
373266.186356	7647039.562975	499.881063	4239.068107	18.688156
373276.182891	7647039.826230	497.530955	4249.068107	18.688156
373286.179425	7647040.089485	495.180847	4259.068107	18.688156
373296.162593	7647040.616792	491.954887	4269.065191	18.688156
373306.134611	7647041.364351	487.998354	4279.065191	18.688156
373316.106630	7647042.111909	484.041820	4289.065191	18.688156
373326.078649	7647042.859468	480.085287	4299.065191	18.688156
373336.050667	7647043.607027	476.128754	4309.065191	18.688156
373346.016962	7647044.413351	472.192707	4319.064051	18.688156
373355.945809	7647045.604150	468.390699	4329.064051	18.688156
373365.874656	7647046.794950	464.588691	4339.064051	18.688156
373375.803502	7647047.985749	460.786684	4349.064051	18.688156
373385.732349	7647049.176548	456.984676	4359.064051	18.688156
373395.661196	7647050.367348	453.182668	4369.064051	18.688156
373405.590042	7647051.558147	449.380660	4379.064051	18.688156
373415.486858	7647052.972531	446.096837	4389.061422	18.688156
373425.350668	7647054.617294	443.346946	4399.061422	18.688156
373435.208430	7647056.295917	440.596088	4409.061084	18.688156
373445.031677	7647058.167769	437.839714	4419.061084	18.688156
373454.888111	7647059.844649	435.205874	4429.059146	18.688156
373464.777441	7647061.328275	432.693491	4439.059146	18.688156
373474.666772	7647062.811901	430.181108	4449.059146	18.688156
373484.556102	7647064.295527	427.668725	4459.059146	18.688156
373494.445432	7647065.779153	425.156342	4469.059146	18.688156
373504.334763	7647067.262779	422.643959	4479.059146	18.688156
373514.224093	7647068.746405	420.131576	4489.059146	18.688156
373524.113425	7647070.230021	417.642975	4499.059146	18.688156
373534.002766	7647071.713576	415.307890	4509.059146	18.688156
373543.892107	7647073.197131	412.972805	4519.059146	18.688156
373553.781448	7647074.680686	410.637719	4529.059146	18.688156
373563.729470	7647075.576120	408.289764	4539.047386	18.688156
373573.716977	7647076.075821	405.933149	4549.047386	18.688156
373583.704484	7647076.575523	403.576535	4559.047386	18.688156
373593.691991	7647077.075224	401.219920	4569.047386	18.688156
373603.679498	7647077.574926	398.863305	4579.047386	18.688156
373613.645695	7647077.369076	396.525754	4589.015708	18.688156
373623.487209	7647075.600233	394.243661	4599.014919	18.688156
373633.458100	7647075.277411	391.845004	4608.991034	18.688156
373643.458100	7647075.277411	389.420469	4618.991034	18.688156
373653.458100	7647075.277411	386.995934	4628.991034	18.688156
373663.458100	7647075.277411	384.571400	4638.991034	18.688156
373673.458100	7647075.277411	382.146865	4648.991034	18.688156
373683.458100	7647075.277411	379.722330	4658.991034	18.688156
373693.458100	7647075.277411	377.297795	4668.991034	18.688156
373703.458100	7647075.277411	374.912127	4678.991034	18.688156
373713.458100	7647075.277411	372.637949	4688.991034	18.688156
373723.458100	7647075.277411	370.363770	4698.991034	18.688156
373733.458100	7647075.277411	368.089591	4708.991034	18.688156
373743.458100	7647075.277411	365.815412	4718.991034	18.688156
373753.458100	7647075.277411	363.541233	4728.991034	18.688156
373763.458100	7647075.277411	361.267054	4738.991034	18.688156
373773.458100	7647075.277411	358.992875	4748.991034	18.688156
